Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Thread Group:HTTP Request,100,12,10,18,1.91,0.000%,20.15723,35.31,2.52,1794.0
TOTAL,100,12,10,18,1.91,0.000%,20.15723,35.31,2.52,1794.0
