Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
HTTP Request,10,14,11,18,2.33,0.000%,2.21484,3.88,0.28,1794.0
TOTAL,10,14,11,18,2.33,0.000%,2.21484,3.88,0.28,1794.0
